b,b,,,
d,d,,,
f,f,,,
g,gu,,,
h,"g, j",,,
dʒ,,"y, ll","y, ll",
k,"c, qu",k,,
l,l,,,
m,m,,,
n,n,,,
p,p,,,
r,r,,rr,
s,"s, c",,,
t,t,,,
v,v,,,
w,w,,,
z,z,,zz,
ʒ,z,,zz,
tʃ,ch,,,
ʃ,ch,,,sh
θ,z,,,
ð,z,,,
ŋ,ñ,,,
j,"y, ll",,,
æ,"ae, ai",,,
eɪ,"ei, ey",,,
e,e,,,
i:,"i, y",,,
ɪ,"i, y",,,
aɪ,"ai, ay",,,
ɒ,oh,,,
oʊ,ou,,,
ʊ,u,,,
ʌ,a,,,
u:,u,,,
ɔɪ,"oi, oy",,,
aʊ,ou,,,
ə,a,,,
eəʳ,er,,,
ɑ:,a,,,
ɜ:ʳ,er,,,
ɔ:,au,,,
ɪəʳ,ir,,,
ʊəʳ,ur,,,
